Employee ID,Name,Gender,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility
376063,Manikya Badami,Male,Sales,Sales Executive,61,91.03,94.4,4.5,78.19,42,3.7,18,No
810690,Zara Mahal,Female,Marketing,Marketing Executive,91,83.36,78.45,4.7,71.39,46,4.5,15,Yes
520956,Sana Gera,Male,Finance,Accountant,100,65.39,99.5,4.4,80.2,51,3.5,7,No
202996,Zoya Wadhwa,Male,Marketing,Content Strategist,100,82.9,79.83,4.3,71.51,43,5,9,Yes
383410,Baiju Doctor,Male,Sales,Sales Executive,80,90.9,89.92,3.7,78.03,51,3.1,29,No
865548,Charvi Chakrabarti,Female,HR,Employee Relations,53,72.43,82.52,5,70.93,35,4.7,4,No
302189,Anahi Kari,Male,Sales,Business Development,59,76.14,79.21,4.9,93.45,49,3.2,16,No
907341,Kavya Kulkarni,Male,IT,Cybersecurity Specialist,98,94.8,93.79,5,83.05,53,3.3,9,No
275552,Trisha Bir,Male,Sales,Account Manager,83,80.59,76.16,4.5,97.62,37,3.7,23,No
745670,Shray Kaul,Female,HR,HR Manager,70,73.82,91.44,4.5,84.12,51,4.2,18,No
374239,Jhanvi Ghosh,Male,Sales,Business Development,75,60.73,90.2,3.4,91.53,35,4.8,3,No
903729,Emir Chaudhry,Male,HR,HR Manager,73,82.23,78.43,4,92.26,44,4.7,12,No
231366,Purab Tara,Male,HR,HR Manager,100,92.09,90.13,3.5,86.27,40,3.2,1,No
888390,Kashvi Bains,Male,Sales,Business Development,95,66.64,94.68,4.2,92.61,50,4.3,17,Yes
378452,Mishti Shah,Female,Finance,Auditor,60,67.86,75.87,4.1,78.95,38,3.4,5,No
786662,Umang Savant,Male,IT,Data Analyst,81,63.41,83.64,3.6,80.15,48,3.9,1,No
453442,Rhea Loyal,Female,HR,Recruitment Specialist,94,62.67,78.64,4.3,73.62,45,3.2,15,No
247543,Indrajit Shah,Female,IT,Cybersecurity Specialist,65,62.14,81.18,3.8,79.31,41,4.3,29,No
760752,Madhup Chaudhari,Female,Marketing,Marketing Executive,50,73.31,79.96,4.7,70.72,42,4.7,27,No
861299,Madhav Kara,Male,HR,Recruitment Specialist,94,68.65,81.06,4,98.48,51,4.4,18,Yes
276598,Pari Batta,Female,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3,30,No
897782,Chirag Bassi,Male,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No
514230,Jayant Dixit,Female,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No
834049,Kismat Dora,Female,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No
181362,Lakshit Lanka,Female,IT,Software Engineer,81,82.16,94.82,4.9,87,36,3,9,No
190571,Vidur Mani,Female,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No
478699,Anahita Ratti,Female,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No
892101,Sumer Mallick,Female,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No
268043,Aaina Swaminathan,Female,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes
108201,Nitara Saha,Female,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No
431608,Yuvraj  Kota,Male,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4,13,No
302120,Uthkarsh Bhakta,Male,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No
949655,Hiran Sharma,Female,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No
999957,Rhea Handa,Female,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No
853352,Lakshay Rout,Female,HR,HR Manager,86,94.22,92.13,3.8,94.42,45,4.7,17,Yes
972885,Ishita Dhillon,Male,Marketing,Marketing Executive,70,64.1,85.82,4.9,79.79,53,3.4,11,No
692055,Hazel Choudhary,Female,HR,Recruitment Specialist,96,76.86,78.28,4.5,98.51,41,3.5,23,No
691847,Eva Khanna,Male,Marketing,Marketing Executive,82,65.76,95.83,3.2,88.84,55,4,28,No
325523,Mishti Krishnan,Male,IT,Software Engineer,88,62.97,81.47,3.8,74.39,36,3.4,3,No
529211,Kiaan Dutta,Male,IT,Cybersecurity Specialist,73,91.15,90.92,4.7,85.23,52,4.8,19,No
748631,Onkar Rama,Male,HR,HR Manager,66,94.05,83.04,3.8,85.8,46,4.2,17,No
352450,Mishti Chacko,Male,IT,Cybersecurity Specialist,73,94.97,96.7,3.5,81.31,39,3.8,7,No
597949,Shaan Basu,Female,HR,HR Manager,97,79.07,86.59,3.1,90.24,39,4.2,27,Yes
538851,Alia Sidhu,Female,Sales,Business Development,89,77.14,99.3,4.9,84.05,38,3.4,15,No
982166,Rohan Bala,Female,Finance,Accountant,97,76.97,95.4,3.5,70.93,48,4.2,15,Yes
891328,Nishith Koshy,Female,IT,Data Analyst,64,84.34,97.17,3.3,92.24,46,4.9,26,No
976367,Nishith Kibe,Female,Finance,Financial Analyst,75,74.44,87.56,4.2,85.01,50,3.5,27,No
968990,Badal Mani,Male,HR,Employee Relations,65,64.87,90.97,3.2,86.54,50,4.6,17,No
675019,Devansh Chander,Female,Finance,Auditor,50,92.85,75.92,3.1,95.35,52,3.8,6,No
